feature,block,mean_cross_deck_corr
ch_face_pref,choice,0.9949400254387685
raw_opp_minions_killed_per_turn,raw,0.9887075490228262
raw_n_decisions,raw,0.9695481046535126
raw_board_size_mean,raw,0.9595661503595285
raw_face_attack_ratio,raw,0.9591339042240369
ch_attack_engage,choice,0.9576330412678615
raw_deck_count_end,raw,0.9547229946208134
raw_n_turns,raw,0.9509789483645196
raw_mana_spent,raw,0.949403987380393
ch_minion_play_pref,choice,0.9232621349534901
ch_target_hp_pct,choice,0.9186759664103565
raw_my_minions_lost_per_turn,raw,0.9151522714332404
ch_target_atk_pct,choice,0.8853298567101668
raw_dmg_taken_per_turn,raw,0.884462178323883
raw_attacks_per_turn,raw,0.8589784006710937
raw_mana_spent_per_turn,raw,0.8304260586213892
raw_cards_per_turn,raw,0.7096755140058532
ch_mana_commit,choice,0.6921750642537063
raw_minion_frac,raw,0.6894112998529331
ch_play_pref,choice,0.6873369884480169
raw_first_minion_turn,raw,0.6042527733629575
raw_max_card_cost,raw,0.5934600673457459
ch_cost_pct,choice,0.5592017037685104
raw_avg_card_cost,raw,0.5211435240415084
ch_max_cost_pref,choice,0.44994181988313364
raw_face_dmg_per_turn,raw,0.41236601587835403
raw_mana_floated_per_turn,raw,0.25864696740077214
ch_pass_with_play,choice,0.20751046688629948
ch_hp_over_play,choice,0.15288300714570843
raw_heal_per_turn,raw,0.05690250943122506
ch_heropower_pref,choice,0.04305121996626964
raw_hero_power_per_turn,raw,0.04190794508963357
